Number,Count,Consecutive_Repeats,Repeat_Hits_In_Draw
8,1565,448,212
4,1598,455,237
9,1607,471,222
0,1623,489,221
5,1627,486,246
7,1636,493,227
3,1644,510,229
1,1646,492,245
6,1672,535,232
2,1674,514,239
