Date,Num1,Num2,Num3,Num4,Num5,StarBall
2025-05-05,5,13,20,22,28,5
2025-05-03,21,23,39,45,50,1
2025-04-30,5,22,23,24,36,7
2025-04-28,18,19,32,44,50,10
2025-04-26,1,9,14,31,34,2
2025-04-23,18,24,34,40,42,8
2025-04-21,2,4,13,21,44,8
2025-04-19,4,11,23,29,36,9
2025-04-16,2,5,45,47,48,8
2025-04-14,7,10,13,21,42,10
2025-04-12,16,24,42,50,52,8
2025-04-09,12,19,30,42,46,7
2025-04-07,4,8,13,27,37,7
2025-04-05,17,26,37,40,51,9
2025-04-02,12,28,39,41,44,1
2025-03-31,11,24,33,38,47,1
2025-03-29,2,21,33,46,52,8
2025-03-26,16,19,30,37,47,6
2025-03-24,14,34,35,40,44,4
2025-03-22,6,21,43,47,52,3
2025-03-19,4,8,26,34,36,6
2025-03-17,12,33,11,29,20,8
2025-03-15,51,44,39,41,16,7
2025-03-12,4,21,17,28,48,4
2025-03-10,39,36,34,13,15,10
2025-03-08,30,31,36,43,1,9
2025-03-05,15,35,10,23,41,4
2025-03-03,25,49,40,12,29,3
2025-03-01,33,13,9,41,8,6
2025-02-26,11,8,21,39,27,5
2025-02-24,35,1,30,21,41,3
2025-02-22,35,26,24,34,3,6
2025-02-19,23,35,22,41,3,2
2025-02-17,20,24,37,22,48,5
2025-02-15,41,29,39,52,17,3
2025-02-12,27,6,30,23,16,1
2025-02-10,7,10,13,31,50,5
2025-02-08,50,5,6,2,30,6
2025-02-05,44,17,45,4,13,5
2025-02-03,33,10,51,35,49,3
2025-02-01,15,52,21,35,14,6
2025-01-29,45,23,20,9,42,2
2025-01-27,33,45,21,7,3,2
2025-01-25,35,8,46,44,31,10
2025-01-22,43,27,16,32,8,4
2025-01-20,23,22,4,32,2,5
2025-01-18,41,52,16,28,47,3
2025-01-15,47,28,11,2,40,3
2025-01-13,49,37,5,11,50,4
2025-01-11,7,52,10,47,16,1
2025-01-08,41,4,15,39,33,7
2025-01-06,15,45,51,50,34,8
2025-01-04,1,17,34,3,21,4
2025-01-01,14,1,8,2,30,6
2024-12-30,50,12,45,38,16,8
2024-12-28,12,42,30,22,17,2
2024-12-25,4,52,42,40,5,10
2024-12-23,52,42,28,4,21,1
2024-12-21,39,30,19,44,9,4
2024-12-18,10,39,5,47,35,5
2024-12-16,50,34,18,5,17,8
2024-12-14,8,52,51,47,2,3
2024-12-11,50,4,14,30,45,4
2024-12-09,51,38,24,29,15,3
2024-12-07,7,31,44,46,14,8
2024-12-04,44,10,42,13,32,9
2024-12-02,20,47,1,39,37,4
2024-11-30,44,15,4,5,10,5
2024-11-27,24,29,23,20,2,9
2024-11-25,16,12,14,33,25,1
2024-11-23,8,14,49,10,2,9
2024-11-20,25,17,11,38,47,9
2024-11-18,37,20,43,42,36,6
2024-11-16,29,24,7,4,5,4
2024-11-13,11,41,42,29,23,10
2024-11-11,39,52,38,50,15,10
2024-11-09,48,14,41,34,31,1
2024-11-06,19,42,3,47,48,7
2024-11-04,16,12,9,52,3,3
2024-11-02,42,9,7,32,23,10
2024-10-30,41,30,50,37,27,7
2024-10-28,41,28,22,1,10,3
2024-10-26,3,2,42,25,47,5
2024-10-23,47,18,44,42,38,3
