Number,Count,Consecutive_Repeats,Repeat_Hits_In_Draw
3,4407,1078,402
7,4419,1045,421
4,4440,1029,420
0,4471,1064,449
9,4473,1069,425
8,4480,1084,430
6,4533,1127,449
2,4557,1092,449
5,4564,1130,454
1,4671,1168,481
